Country Name,Series Name,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
United States,Gross capital formation (current US$),3.10721E+12,2.57257E+12,2.80998E+12,2.96918E+12,3.24279E+12,3.44016E+12,3.68031E+12,3.91791E+12,3.92796E+12,4.14909E+12,4.45542E+12,4.66737E+12,4.56482E+12,5.04303E+12,5.63341E+12,..
United States,Population growth (annual %),0.945865287,0.876651299,0.829616675,0.726786705,0.733599941,0.692860277,0.73336152,0.736217309,0.724676067,0.632643995,0.526435396,0.455381286,0.968999516,0.157342694,0.367472694,0.491924872
United States,"Unemployment, total (% of total labor force) (national estimate)",5.784,9.254,9.633,8.949,8.069,7.375,6.168,5.28,4.869,4.355,3.896,3.669,8.055,5.349,3.65,3.638
United States,Trade (% of GDP),29.86778753,24.75952764,28.21988294,30.84247858,30.68183958,29.94130628,29.90656934,27.68821393,26.45259779,27.12533822,27.44535913,26.27805493,23.10475333,25.25348466,27.0400163,..
United States,Military expenditure (current USD),6.56756E+11,7.05917E+11,7.38005E+11,7.52288E+11,7.25205E+11,6.79229E+11,6.47789E+11,6.3383E+11,6.39856E+11,6.46753E+11,6.82491E+11,7.34344E+11,7.78397E+11,8.0623E+11,8.76943E+11,..
United States,Research and development expenditure (% of GDP),2.744810104,2.791820049,2.714449883,2.738029957,2.672840118,2.702150106,2.717859983,2.786999941,2.853499889,2.904320002,3.010099888,3.170490026,3.4677701,3.457050085,..,..
Brazil,GDP (current US$),1.69586E+12,1.667E+12,2.20884E+12,2.61616E+12,2.46523E+12,2.47282E+12,2.45604E+12,1.80221E+12,1.79569E+12,2.06351E+12,1.91693E+12,1.87329E+12,1.47611E+12,1.67065E+12,1.95192E+12,2.17367E+12
Brazil,GDP per capita (current US$),8801.757876,8569.902547,11249.29189,13200.55623,12327.5131,12258.56571,12071.40446,8783.215424,8680.736469,9896.718895,9121.020995,8845.324149,6923.699912,7794.880979,9065.497334,10043.62392
Brazil,"Population, total",192672317,194517549,196353492,198185302,199977707,201721767,203459650,205188205,206859578,208504960,210166592,211782878,213196304,214326223,215313498,216422446
Brazil,"Labor force, total",93935308,95703669,95367508,94948394,97188186,98532617,99628945,101474161,102923211,104715941,106048382,107999623,101755860,106047171,108750811,108695239
Brazil,Imports of goods and services (current US$),2.32732E+11,1.87614E+11,2.62997E+11,3.23145E+11,3.26316E+11,3.47276E+11,3.35826E+11,2.53273E+11,2.16686E+11,2.43511E+11,2.72994E+11,2.76635E+11,2.33941E+11,3.09853E+11,3.74482E+11,3.42215E+11
Brazil,Exports of goods and services (current US$),2.29517E+11,1.80892E+11,2.40003E+11,3.03017E+11,2.92808E+11,2.90364E+11,2.70458E+11,2.32489E+11,2.23863E+11,2.58331E+11,2.80543E+11,2.64563E+11,2.42872E+11,3.19251E+11,3.83178E+11,3.93657E+11
Brazil,"Industry (including construction), value added (current US$)",3.91493E+11,3.64715E+11,5.13952E+11,6.04386E+11,5.45645E+11,5.24851E+11,5.02813E+11,3.48909E+11,3.29595E+11,3.75322E+11,3.59407E+11,3.51328E+11,2.87931E+11,3.69605E+11,4.45418E+11,4.83927E+11
Brazil,"Literacy rate, adult total (% of people ages 15 and above)",90.03662109,90.29821014,90.37918091,91.41123962,91.33785248,91.48423767,91.72943115,92.04789734,92.80844116,93.07582092,93.22750092,..,..,..,94.69000244,..
Brazil,Gross capital formation (current US$),3.66633E+11,3.13331E+11,4.81556E+11,5.71009E+11,5.27983E+11,5.36448E+11,5.04678E+11,3.13794E+11,2.68807E+11,3.01801E+11,2.89362E+11,2.90674E+11,2.37887E+11,3.26142E+11,3.53068E+11,3.49656E+11
Brazil,Population growth (annual %),0.987284203,0.953147865,0.939418022,0.92858963,0.900343361,0.86834615,0.857834829,0.845992601,0.811256478,0.7922634,0.793768154,0.766107802,0.665176682,0.528590453,0.459583548,0.513716986
Brazil,"Unemployment, total (% of total labor force) (national estimate)",8.268,9.419,..,7.578,7.251,7.071,6.755,8.538,11.58,12.792,12.33,11.936,13.697,13.159,9.231,7.947
Brazil,Trade (% of GDP),27.25756942,22.1059756,22.77217811,23.93440518,25.11427361,25.78595733,24.68540581,26.95362594,24.53368208,24.31973437,28.87620338,28.89025787,32.30207855,37.65633076,38.81606598,33.85394659
Brazil,Military expenditure (current USD),24452903036,25648809911,34002944470,36936209896,33987005074,32874787231,32660239369,24617701683,24224746901,29261833097,28177406872,25906871197,19591209004,19187122475,20210787437,..
Brazil,Research and development expenditure (% of GDP),1.129040003,1.118659973,1.159919977,1.139660001,1.126839995,1.195670009,1.269709945,1.370929956,1.286370039,1.117499948,1.167690039,1.210960031,1.145259976,..,..,..
Russian Federation,GDP (current US$),1.66085E+12,1.22265E+12,1.52492E+12,2.04592E+12,2.20829E+12,2.29247E+12,2.05924E+12,1.36348E+12,1.27679E+12,1.5742E+12,1.65733E+12,1.69312E+12,1.49308E+12,1.84339E+12,2.26603E+12,2.02142E+12
Russian Federation,GDP per capita (current US$),11635.28418,8562.824219,10674.99023,14305.33203,15401.85156,15941.44824,14055.47266,9277.713867,8663.158203,10658.91309,11211.8877,11447.70117,10108.32715,12521.52246,15445.24219,13817.0459
Russian Federation,"Population, total",142742366,142785348,142849468,143018195,143378447,143805638,144237223,144640716,145015460,145293260,145398106,145453291,145245148,144746762,144236933,143826130
Russian Federation,"Labor force, total",75918125,75954036,75870233,76104185,76005341,75771697,75645949,75405173,75532228,75021883,74975854,74132155,73659292,74031444,73798702,72407755
